30,106
39,152
48,282
57,233
66,266
75,316
84,320
93,394
102,390
111,525
120,586
129,604
138,638
147,789
156,839
165,788
174,1052
183,1401
192,1063
201,1093
210,1024
220,1074
230,1511
240,1422
250,1431
260,1497
270,1371
280,1528
290,1375
300,1693
310,1694
320,1502
330,1912
340,2008
350,1973
360,2542
370,2136
380,2181
390,2478
400,2106
410,2455
420,2960
430,2418
440,2619
450,2626
460,3000
470,2736
480,3121
490,3131
500,2954
510,2956
520,3277
530,4025
540,3068
550,4060
560,3381
570,3391
580,3928
590,4107
600,4035
610,3571
620,3580
630,3441
640,4231
650,4394
660,4601
670,4109
680,3923
690,4570
700,5907
710,4965
720,4615
730,3972
740,4670
750,4968
760,4246
770,5404
780,5053
790,5506
800,4793
810,5283
820,5815
830,4928
840,5708
850,6240
860,5504
870,5407
880,6784
890,5792
900,6675
910,5738
920,6539
930,6000
940,7011
950,5665
960,6939
970,6658
980,6868
990,6749
1000,6791
